microrregiao,distancia_media_fabrica_1,distancia_media_fabrica_2,capacidade_alojamento_total,associados_unicos
ASS02,111.0,93.0,19500.0,1
ASS04,71.0,91.0,35000.0,1
ASS07,36.0,56.0,36000.0,2
ASS15,89.5,109.5,29700.0,2
ASS16,106.0,126.0,20000.0,1
ASS17,114.0,134.0,22000.0,1
ASS18,102.0,122.0,34600.0,1
ASS27,112.0,132.0,18800.0,1
ASS28,160.0,121.0,18800.0,1
ASS32,40.0,60.0,73000.0,3
IPR07,48.0,66.0,36000.0,1
IPR08,34.0,52.0,37500.0,2
MRP02,36.0,22.0,19500.0,1
MRP03,62.0,47.0,37500.0,2
MRP05,37.0,58.0,18000.0,1
MRP06,64.0,50.0,38200.0,2
MRP07,67.0,53.0,37800.0,2
MRP09,82.0,68.0,18700.0,1
MRP11,58.0,44.0,15000.0,1
NSR02,86.0,66.0,20000.0,1
NSR05,36.0,22.0,15600.0,1
PNA01,22.0,40.0,24300.0,1
PNA02,10.0,29.333333333333332,58500.0,2
PNA04,13.0,33.0,37400.0,2
PNA06,20.0,40.0,24300.0,1
PNA09,21.0,41.0,37500.0,2
PNA10,14.0,34.0,46000.0,1
PNA12,30.666666666666668,15.333333333333334,60700.0,3
PNA13,24.0,8.0,18000.0,1
PNA15,12.0,14.0,32400.0,2
PNA16,14.0,8.0,36800.0,2
PNA17,22.0,36.0,36800.0,2
PNA20,20.0,34.0,18800.0,1
PNA21,26.0,40.0,23700.0,1
PNA23,20.0,34.0,19000.0,1
PNA24,42.0,62.0,37600.0,1
PNA26,32.0,46.0,13500.0,1
TRX01,57.0,76.0,18800.0,1
TRX06,56.0,76.0,23400.0,1
